#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
1G|EA27|42.08662|111.57076|1320.0|EA27|2011-06-04T07:28:56|2011-10-23T06:10:08
1G|EA29|41.62461|112.42881|1500.0|EA29|2011-06-03T08:41:54|2011-10-23T08:12:52
1G|EA30|41.32368|112.97397|1700.0|EA30|2011-06-03T03:52:42|2011-10-23T02:13:00
1G|EA31|41.02244|111.20446|1740.0|EA31|2011-06-04T05:12:21|2011-10-24T02:03:01
1G|NOP01|41.97177|110.49863|1320.0|NOP01|2010-05-11T11:26:20|2011-05-23T05:23:46
1G|NOP02|41.44373|110.27962|1530.0|NOP02|2010-05-11T05:59:35|2011-05-23T08:47:05
1G|NOP03|40.96051|110.14881|1500.0|NOP03|2010-05-10T09:44:42|2011-05-23T11:25:05
1G|NOP04|40.23191|109.97764|1060.0|NOP04|2010-05-12T12:38:04|2011-05-16T03:23:55
1G|NOP05|39.87063|109.8832|1460.0|NOP05|2010-05-13T08:44:09|2011-05-22T08:27:57
1G|NOP06|39.47075|109.81782|1370.0|NOP06|2010-05-14T05:37:24|2011-05-22T06:11:28
1G|NOP07|38.96771|109.70156|1300.0|NOP07|2010-05-15T04:06:48|2011-05-22T02:30:24
1G|NOP09|41.19655|110.13508|1560.0|NOP09|2010-06-05T04:07:26|2011-05-07T08:24:57
1G|NOP10|40.72424|110.08937|1320.0|NOP10|2010-06-04T06:23:09|2011-04-04T00:33:32
1G|WA03|39.4253|108.97348|1360.0|WA03|2011-05-28T14:17:05|2011-10-25T09:31:33
1G|WA05|39.46912|107.78784|1410.0|WA05|2011-05-26T10:17:06|2011-10-26T03:50:06
1G|WA07|40.08731|106.89632|1160.0|WA07|2011-05-27T11:07:38|2011-10-26T08:59:08
1G|WA08|39.78198|105.74621|1020.0|WA08|2011-05-28T07:35:42|2011-10-25T11:07:47
1G|WA17|40.77207|108.32398|1020.0|WA17|2011-06-06T05:53:01|2011-10-23T15:43:59
